"","winner","TopAvg","JungleAvg","MidAvg","ADCAvg","SupportAvg","GameLength","KillDiff","Season","TopWinningTeam","JungWinningTeam","MidWinningTeam","ADCWinningTeam","SupWinningTeam","Carry","TeamOfCarry"
"1","Blue",-2098,-1740,-1540,-2788,476,40,7,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"2","Red",-1736,-578,-2450,-2476,61,38,1,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"3","Blue",-774,-594,-1204,-1595,1164,40,14,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"4","Red",-2082,-2387,-2810,-3000,-581,41,-11,2015,"Red","Red","Red","Red","Red","ADC","Red"
"5","Blue",-1915,-1322,-1575,-1582,645,35,12,2015,"Red","Red","Red","Red","Blue","Top","Red"
"6","Red",-1429,-985,-1365,-1358,-116,24,-4,2015,"Red","Red","Red","Red","Red","Top","Red"
"7","Blue",-1121,-579,-1772,-2772,547,39,18,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"8","Blue",-1127,-773,-1371,-3351,413,43,15,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"9","Red",-1140,-1783,-2775,-3089,-812,41,-14,2015,"Red","Red","Red","Red","Red","ADC","Red"
"10","Blue",-1180,-1094,-2031,-1562,431,32,7,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"11","Blue",-2376,-1284,-3104,-3001,613,52,1,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"12","Blue",-1697,-1522,-3086,-2541,617,46,2,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"13","Blue",-1165,-724,-1932,-726,843,38,12,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"14","Red",-1363,-2098,-2728,-2917,-806,31,-8,2015,"Red","Red","Red","Red","Red","ADC","Red"
"15","Blue",-612,-492,-1010,-1127,612,33,9,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"16","Blue",-715,-1037,-388,-1395,1166,38,8,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"17","Red",-2305,-2039,-4283,-3331,-636,40,-19,2015,"Red","Red","Red","Red","Red","Mid","Red"
"18","Blue",-1250,-457,-1498,-2185,551,39,12,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"19","Blue",-907,-895,-1786,-2127,367,40,6,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"20","Red",-2046,-1398,-2525,-3158,242,39,-4,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"21","Red",-2775,-2514,-4562,-4010,78,49,-15,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"22","Blue",-1500,-751,-1798,-1019,704,35,13,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"23","Red",-1999,-1654,-3022,-2680,-474,36,-12,2015,"Red","Red","Red","Red","Red","Mid","Red"
"24","Blue",-2152,-901,-2261,-2236,-11,43,6,2015,"Red","Red","Red","Red","Red","Mid","Red"
"25","Red",-2822,-2078,-2783,-3577,-934,32,-11,2015,"Red","Red","Red","Red","Red","ADC","Red"
"26","Blue",-415,-583,-1368,-1298,511,31,2,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"27","Blue",-498,-859,-1971,-2298,557,36,9,2015,"Red","Red","Red","Red","Blue","ADC","Red"
"28","Red",-2512,-1669,-2883,-3433,-440,41,-10,2015,"Red","Red","Red","Red","Red","ADC","Red"
"29","Blue",-194,-2,-1022,-843,936,31,15,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"30","Blue",-983,-577,-1208,-775,378,30,14,2015,"Red","Red","Red","Red","Blue","Mid","Red"
"31","Red",-1845,-1965,-2847,-3298,-364,45,-8,2015,"Red","Red","Red","Red","Red","ADC","Red"
"32","Blue",-1715,-1570,-2115,-2130,738,42,18,2015,"Red","Red","Red","Red","Blue","ADC","Red"
